cleaned_name,adjusted_loc_col
Ballycar House is a popular tourist destination.,"[(0, 14, 'LOC')]"
Many people visit Ballycapple House every year for its scenic views.,"[(18, 35, 'LOC')]"
The peaceful surroundings of Ballycapple make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Ballycanew is a popular tourist destination.,"[(0, 10, 'LOC')]"
Ballycahill has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Many people visit Ballycahane House every year for its scenic views.,"[(18, 35, 'LOC')]"
The region surrounding Ballyburly House is known for its natural beauty.,"[(23, 39, 'LOC')]"
Ballybunnion has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Ballybrophy is a popular tourist destination.,"[(0, 11, 'LOC')]"
Many people visit Ballybroony House every year for its scenic views.,"[(18, 35, 'LOC')]"
The peaceful surroundings of Ballybrood make it a great place for a getaway.,"[(29, 39, 'LOC')]"
The peaceful surroundings of Ballybritt Castle make it a great place for a getaway.,"[(29, 46, 'LOC')]"
The region surrounding Ballybrittas is known for its natural beauty.,"[(23, 35, 'LOC')]"
The region surrounding Ballybrack is known for its natural beauty.,"[(23, 33, 'LOC')]"
Ballyboy has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Ballyboughal is a popular tourist destination.,"[(0, 12, 'LOC')]"
Hiking enthusiasts often explore the area around Ballybofey.,"[(49, 59, 'LOC')]"
The region surrounding Ballyboe Mountain is known for its natural beauty.,"[(23, 40, 'LOC')]"
Ballyboden has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
The region surrounding Ballybeg Island is known for its natural beauty.,"[(23, 38, 'LOC')]"
Many people visit Ballybeg every year for its scenic views.,"[(18, 26, 'LOC')]"
Many people visit Ballybeg House every year for its scenic views.,"[(18, 32, 'LOC')]"
Hiking enthusiasts often explore the area around Ballybay House.,"[(49, 63, 'LOC')]"
Ballybay is a popular tourist destination.,"[(0, 8, 'LOC')]"
The region surrounding Ballybane House is known for its natural beauty.,"[(23, 38, 'LOC')]"
Ballyarr House is a popular tourist destination.,"[(0, 14, 'LOC')]"
The region surrounding Ballyargus is known for its natural beauty.,"[(23, 33, 'LOC')]"
The peaceful surroundings of Ballyanny House make it a great place for a getaway.,"[(29, 44, 'LOC')]"
The region surrounding Ballyanne House is known for its natural beauty.,"[(23, 38, 'LOC')]"
Many people visit Ballyallaban House every year for its scenic views.,"[(18, 36, 'LOC')]"
Hiking enthusiasts often explore the area around Ballyagran.,"[(49, 59, 'LOC')]"
The region surrounding Ballyadams is known for its natural beauty.,"[(23, 33, 'LOC')]"
Many people visit Ballsbridge every year for its scenic views.,"[(18, 29, 'LOC')]"
The region surrounding Balloughter is known for its natural beauty.,"[(23, 34, 'LOC')]"
Ballough is a popular tourist destination.,"[(0, 8, 'LOC')]"
Many people visit Balloor every year for its scenic views.,"[(18, 25, 'LOC')]"
Ballon is a popular tourist destination.,"[(0, 6, 'LOC')]"
The peaceful surroundings of Ballivor make it a great place for a getaway.,"[(29, 37, 'LOC')]"
Ballitore Hill is a popular tourist destination.,"[(0, 14, 'LOC')]"
Many people visit Ballitore every year for its scenic views.,"[(18, 27, 'LOC')]"
Many people visit Ballisk every year for its scenic views.,"[(18, 25, 'LOC')]"
Ballinvonear House has a rich history and is well-known among locals.,"[(0, 18, 'LOC')]"
Ballinure is a popular tourist destination.,"[(0, 9, 'LOC')]"
The region surrounding Ballinunty is known for its natural beauty.,"[(23, 33, 'LOC')]"
Hiking enthusiasts often explore the area around Ballintubbert.,"[(49, 62, 'LOC')]"
Many people visit Ballintra every year for its scenic views.,"[(18, 27, 'LOC')]"
The peaceful surroundings of Ballintombay make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Ballintogher is a popular tourist destination.,"[(0, 12, 'LOC')]"
Many people visit Ballintober House every year for its scenic views.,"[(18, 35, 'LOC')]"
Hiking enthusiasts often explore the area around Ballintubber.,"[(49, 61, 'LOC')]"
The peaceful surroundings of Ballintober make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Ballinter has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
Hiking enthusiasts often explore the area around Ballintemple House.,"[(49, 67, 'LOC')]"
Ballintemple is a popular tourist destination.,"[(0, 12, 'LOC')]"
Many people visit Ballintaylor Lower every year for its scenic views.,"[(18, 36, 'LOC')]"
Many people visit Ballinspittle every year for its scenic views.,"[(18, 31, 'LOC')]"
Many people visit Ballinskelligs Bay every year for its scenic views.,"[(18, 36, 'LOC')]"
The peaceful surroundings of Ballinskelligs make it a great place for a getaway.,"[(29, 43, 'LOC')]"
The peaceful surroundings of Ballinruddery House make it a great place for a getaway.,"[(29, 48, 'LOC')]"
Ballinruan has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
Many people visit Ballinrostig every year for its scenic views.,"[(18, 30, 'LOC')]"
Ballinrobe is a popular tourist destination.,"[(0, 10, 'LOC')]"
Many people visit Ballin Prior every year for its scenic views.,"[(18, 30, 'LOC')]"
Ballinlough House is a popular tourist destination.,"[(0, 17, 'LOC')]"
Ballinlough has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Hiking enthusiasts often explore the area around Ballinlonty House.,"[(49, 66, 'LOC')]"
The peaceful surroundings of Ballinleeny make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Ballinlass House has a rich history and is well-known among locals.,"[(0, 16, 'LOC')]"
Ballinkillin has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
The peaceful surroundings of Ballinkeel House make it a great place for a getaway.,"[(29, 45, 'LOC')]"
Ballinhassig is a popular tourist destination.,"[(0, 12, 'LOC')]"
The peaceful surroundings of Ballingurteen make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Ballinguile has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
The peaceful surroundings of Ballinglen Station make it a great place for a getaway.,"[(29, 47, 'LOC')]"
Many people visit Ballinglen River every year for its scenic views.,"[(18, 34, 'LOC')]"
Ballingeary has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Ballingate House Lower is a popular tourist destination.,"[(0, 22, 'LOC')]"
The peaceful surroundings of Ballingarry make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The peaceful surroundings of Ballingarrane make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Many people visit Ballineen every year for its scenic views.,"[(18, 27, 'LOC')]"
Many people visit Ballindrait every year for its scenic views.,"[(18, 29, 'LOC')]"
The region surrounding Ballindooly is known for its natural beauty.,"[(23, 34, 'LOC')]"
Ballindine has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
The peaceful surroundings of Ballinderry Park make it a great place for a getaway.,"[(29, 45, 'LOC')]"
Many people visit Ballinderry every year for its scenic views.,"[(18, 29, 'LOC')]"
Ballinderreen is a popular tourist destination.,"[(0, 13, 'LOC')]"
Ballindangan is a popular tourist destination.,"[(0, 12, 'LOC')]"
The peaceful surroundings of Ballindaggan make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Many people visit Ballincurry every year for its scenic views.,"[(18, 29, 'LOC')]"
Ballincurrig has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Ballincrea has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
Ballincollig is a popular tourist destination.,"[(0, 12, 'LOC')]"
Many people visit Ballincloher every year for its scenic views.,"[(18, 30, 'LOC')]"
Many people visit Ballinclea House every year for its scenic views.,"[(18, 34, 'LOC')]"
Hiking enthusiasts often explore the area around Ballinclashet.,"[(49, 62, 'LOC')]"
The region surrounding Ballinasloe is known for its natural beauty.,"[(23, 34, 'LOC')]"
Ballinascarty is a popular tourist destination.,"[(0, 13, 'LOC')]"
Many people visit Ballinapark every year for its scenic views.,"[(18, 29, 'LOC')]"
Hiking enthusiasts often explore the area around Ballinamuck.,"[(49, 60, 'LOC')]"
The region surrounding Ballinamore Park is known for its natural beauty.,"[(23, 39, 'LOC')]"
Ballinamore House is a popular tourist destination.,"[(0, 17, 'LOC')]"
The region surrounding Ballinamore Bridge is known for its natural beauty.,"[(23, 41, 'LOC')]"
Hiking enthusiasts often explore the area around Ballinamore.,"[(49, 60, 'LOC')]"
Many people visit Ballinamona House every year for its scenic views.,"[(18, 35, 'LOC')]"
Ballinameen has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Hiking enthusiasts often explore the area around Ballinalee.,"[(49, 59, 'LOC')]"
Ballinaleama Bay has a rich history and is well-known among locals.,"[(0, 16, 'LOC')]"
Ballinalea is a popular tourist destination.,"[(0, 10, 'LOC')]"
Ballinalack is a popular tourist destination.,"[(0, 11, 'LOC')]"
Many people visit Ballinakill every year for its scenic views.,"[(18, 29, 'LOC')]"
Ballinagore is a popular tourist destination.,"[(0, 11, 'LOC')]"
Many people visit Ballinagleragh every year for its scenic views.,"[(18, 32, 'LOC')]"
Many people visit Ballinagar every year for its scenic views.,"[(18, 28, 'LOC')]"
Many people visit Ballinafad House every year for its scenic views.,"[(18, 34, 'LOC')]"
Hiking enthusiasts often explore the area around Ballinafad.,"[(49, 59, 'LOC')]"
The region surrounding Ballinadee is known for its natural beauty.,"[(23, 33, 'LOC')]"
Many people visit Ballinaclash every year for its scenic views.,"[(18, 30, 'LOC')]"
The region surrounding Ballinaboy is known for its natural beauty.,"[(23, 33, 'LOC')]"
The peaceful surroundings of Ballinabarney House make it a great place for a getaway.,"[(29, 48, 'LOC')]"
Ballina is a popular tourist destination.,"[(0, 7, 'LOC')]"
Ballickmoyler is a popular tourist destination.,"[(0, 13, 'LOC')]"
The region surrounding Balleven House is known for its natural beauty.,"[(23, 37, 'LOC')]"
The peaceful surroundings of Ballaghmore make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The region surrounding Ballaghkeen is known for its natural beauty.,"[(23, 34, 'LOC')]"
The region surrounding Ballaghaderreen is known for its natural beauty.,"[(23, 38, 'LOC')]"
Many people visit Ballagh every year for its scenic views.,"[(18, 25, 'LOC')]"
The peaceful surroundings of Ballagan Point make it a great place for a getaway.,"[(29, 43, 'LOC')]"
Many people visit Balla every year for its scenic views.,"[(18, 23, 'LOC')]"
The peaceful surroundings of Balheary House make it a great place for a getaway.,"[(29, 43, 'LOC')]"
The peaceful surroundings of Baldwinstown make it a great place for a getaway.,"[(29, 41, 'LOC')]"
The region surrounding Castle Baldwin is known for its natural beauty.,"[(23, 37, 'LOC')]"
Baldoyle has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
The region surrounding Balbriggan is known for its natural beauty.,"[(23, 33, 'LOC')]"
Bailieborough Castle is a popular tourist destination.,"[(0, 20, 'LOC')]"
Hiking enthusiasts often explore the area around Bailieborough.,"[(49, 62, 'LOC')]"
The region surrounding Baginbun Head is known for its natural beauty.,"[(23, 36, 'LOC')]"
The region surrounding Baggotstown House is known for its natural beauty.,"[(23, 40, 'LOC')]"
Baggotstown is a popular tourist destination.,"[(0, 11, 'LOC')]"
The region surrounding Bagenalstown is known for its natural beauty.,"[(23, 35, 'LOC')]"
The region surrounding Aylwardstown House is known for its natural beauty.,"[(23, 41, 'LOC')]"
Many people visit Aylevarroo Bay every year for its scenic views.,"[(18, 32, 'LOC')]"
The region surrounding Ayle House is known for its natural beauty.,"[(23, 33, 'LOC')]"
Lough Awee is a popular tourist destination.,"[(0, 10, 'LOC')]"
Awbeg River has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Avonmore River is a popular tourist destination.,"[(0, 14, 'LOC')]"
The peaceful surroundings of Avondale make it a great place for a getaway.,"[(29, 37, 'LOC')]"
Many people visit Avonbeg River every year for its scenic views.,"[(18, 31, 'LOC')]"
Lough Avehy has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Hiking enthusiasts often explore the area around Lough Avaghon.,"[(49, 62, 'LOC')]"
Hiking enthusiasts often explore the area around Aughrus Point.,"[(49, 62, 'LOC')]"
Aughris Head is a popular tourist destination.,"[(0, 12, 'LOC')]"
Aughris is a popular tourist destination.,"[(0, 7, 'LOC')]"
The peaceful surroundings of Aughrim River make it a great place for a getaway.,"[(29, 42, 'LOC')]"
The peaceful surroundings of Aughrim make it a great place for a getaway.,"[(29, 36, 'LOC')]"
The peaceful surroundings of Aughrane Castle make it a great place for a getaway.,"[(29, 44, 'LOC')]"
Hiking enthusiasts often explore the area around Aughnasheelan.,"[(49, 62, 'LOC')]"
The region surrounding Aughnanure Castle is known for its natural beauty.,"[(23, 40, 'LOC')]"
Many people visit Aughinish Point every year for its scenic views.,"[(18, 33, 'LOC')]"
The peaceful surroundings of Aughinish Island make it a great place for a getaway.,"[(29, 45, 'LOC')]"
Many people visit Aughinish Bay every year for its scenic views.,"[(18, 31, 'LOC')]"
The region surrounding Aughils is known for its natural beauty.,"[(23, 30, 'LOC')]"
Many people visit Aughclare every year for its scenic views.,"[(18, 27, 'LOC')]"
Aughboy is a popular tourist destination.,"[(0, 7, 'LOC')]"
Hiking enthusiasts often explore the area around Aughagault Little.,"[(49, 66, 'LOC')]"
Many people visit Aughagault Big every year for its scenic views.,"[(18, 32, 'LOC')]"
Aughagault has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
Hiking enthusiasts often explore the area around Attymon Junction.,"[(49, 65, 'LOC')]"
Hiking enthusiasts often explore the area around Attymon.,"[(49, 56, 'LOC')]"
Many people visit Attimachugh every year for its scenic views.,"[(18, 29, 'LOC')]"
Hiking enthusiasts often explore the area around Attanagh.,"[(49, 57, 'LOC')]"
The peaceful surroundings of Lough Atorick make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Athy Canal has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
Athy has a rich history and is well-known among locals.,"[(0, 4, 'LOC')]"
Hiking enthusiasts often explore the area around Athnid.,"[(49, 55, 'LOC')]"
Athlone is a popular tourist destination.,"[(0, 7, 'LOC')]"
Athleague has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The peaceful surroundings of Athlacca make it a great place for a getaway.,"[(29, 37, 'LOC')]"
Hiking enthusiasts often explore the area around Athgarvan.,"[(49, 58, 'LOC')]"
Hiking enthusiasts often explore the area around Athenry.,"[(49, 56, 'LOC')]"
Hiking enthusiasts often explore the area around Athea.,"[(49, 54, 'LOC')]"
Athclare Castle is a popular tourist destination.,"[(0, 15, 'LOC')]"
Athcarne Castle is a popular tourist destination.,"[(0, 15, 'LOC')]"
Many people visit Athboy River every year for its scenic views.,"[(18, 30, 'LOC')]"
The peaceful surroundings of Athboy make it a great place for a getaway.,"[(29, 35, 'LOC')]"
Many people visit Attavally every year for its scenic views.,"[(18, 27, 'LOC')]"
Athassel House is a popular tourist destination.,"[(0, 14, 'LOC')]"
Hiking enthusiasts often explore the area around Athasselabbey House.,"[(49, 68, 'LOC')]"
Hiking enthusiasts often explore the area around Athabatteen.,"[(49, 60, 'LOC')]"
Lough Atedaun is a popular tourist destination.,"[(0, 13, 'LOC')]"
Astee has a rich history and is well-known among locals.,"[(0, 5, 'LOC')]"
Askintinny is a popular tourist destination.,"[(0, 10, 'LOC')]"
The peaceful surroundings of Askill make it a great place for a getaway.,"[(29, 35, 'LOC')]"
The peaceful surroundings of Askeaton make it a great place for a getaway.,"[(29, 37, 'LOC')]"
Hiking enthusiasts often explore the area around Askamore.,"[(49, 57, 'LOC')]"
The region surrounding Ashroe is known for its natural beauty.,"[(23, 29, 'LOC')]"
Ash Park has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
The peaceful surroundings of Ashleypark House make it a great place for a getaway.,"[(29, 45, 'LOC')]"
Ash Hill Towers is a popular tourist destination.,"[(0, 15, 'LOC')]"
Many people visit Ashgrove House every year for its scenic views.,"[(18, 32, 'LOC')]"
The peaceful surroundings of Ashfort House make it a great place for a getaway.,"[(29, 42, 'LOC')]"
The region surrounding Ashford Castle is known for its natural beauty.,"[(23, 37, 'LOC')]"
Many people visit Ashford every year for its scenic views.,"[(18, 25, 'LOC')]"
Ashfield Lodge has a rich history and is well-known among locals.,"[(0, 14, 'LOC')]"
Many people visit Ashfield Hall every year for its scenic views.,"[(18, 31, 'LOC')]"
Ash Field has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
The region surrounding Ashbourne is known for its natural beauty.,"[(23, 32, 'LOC')]"
Hiking enthusiasts often explore the area around Ashakiltubbrid.,"[(49, 63, 'LOC')]"
Hiking enthusiasts often explore the area around Arva Road Station.,"[(49, 66, 'LOC')]"
Arvagh is a popular tourist destination.,"[(0, 6, 'LOC')]"
Hiking enthusiasts often explore the area around Arthurstown.,"[(49, 60, 'LOC')]"
Hiking enthusiasts often explore the area around Lough Arrow.,"[(49, 60, 'LOC')]"
The region surrounding Arrigle River is known for its natural beauty.,"[(23, 36, 'LOC')]"
Hiking enthusiasts often explore the area around Arra Mountains.,"[(49, 63, 'LOC')]"
Hiking enthusiasts often explore the area around Arnagragh.,"[(49, 58, 'LOC')]"
Many people visit Arley every year for its scenic views.,"[(18, 23, 'LOC')]"
The peaceful surroundings of Arless make it a great place for a getaway.,"[(29, 35, 'LOC')]"
The region surrounding Arklow Head is known for its natural beauty.,"[(23, 34, 'LOC')]"
The peaceful surroundings of Arklow Bank make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Arklow has a rich history and is well-known among locals.,"[(0, 6, 'LOC')]"
The peaceful surroundings of Arigna River make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Arigna is a popular tourist destination.,"[(0, 6, 'LOC')]"
Argideen River is a popular tourist destination.,"[(0, 14, 'LOC')]"
Many people visit Ardy every year for its scenic views.,"[(18, 22, 'LOC')]"
Ardtully House is a popular tourist destination.,"[(0, 14, 'LOC')]"
Ardsollus Bridge is a popular tourist destination.,"[(0, 16, 'LOC')]"
Many people visit Ards House every year for its scenic views.,"[(18, 28, 'LOC')]"
Hiking enthusiasts often explore the area around Ards Beg.,"[(49, 57, 'LOC')]"
Ardsallagh is a popular tourist destination.,"[(0, 10, 'LOC')]"
The peaceful surroundings of Ardsallagh House make it a great place for a getaway.,"[(29, 45, 'LOC')]"
Hiking enthusiasts often explore the area around Ards.,"[(49, 53, 'LOC')]"
Ardrumman House has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
Ardrum House has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Ardristan House has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
Ardranny has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Many people visit Ardrahan every year for its scenic views.,"[(18, 26, 'LOC')]"
The region surrounding Ardpatrick is known for its natural beauty.,"[(23, 33, 'LOC')]"
Hiking enthusiasts often explore the area around Ardoginna House.,"[(49, 64, 'LOC')]"
Many people visit Ardoginna Head every year for its scenic views.,"[(18, 32, 'LOC')]"
Ardnaree has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Ardnamona is a popular tourist destination.,"[(0, 9, 'LOC')]"
Hiking enthusiasts often explore the area around Ardnacrusha.,"[(49, 60, 'LOC')]"
Hiking enthusiasts often explore the area around Ardmore Point.,"[(49, 62, 'LOC')]"
The peaceful surroundings of Ardmore Head make it a great place for a getaway.,"[(29, 41, 'LOC')]"
Hiking enthusiasts often explore the area around Ardmore Bay.,"[(49, 60, 'LOC')]"
Many people visit Ardmore every year for its scenic views.,"[(18, 25, 'LOC')]"
Ardmayle House is a popular tourist destination.,"[(0, 14, 'LOC')]"
The region surrounding Ardlougher is known for its natural beauty.,"[(23, 33, 'LOC')]"
Hiking enthusiasts often explore the area around Ardinode.,"[(49, 57, 'LOC')]"
Many people visit Ardgroom Harbour every year for its scenic views.,"[(18, 34, 'LOC')]"
Ardgroom is a popular tourist destination.,"[(0, 8, 'LOC')]"
Many people visit Ardgillan Castle every year for its scenic views.,"[(18, 34, 'LOC')]"
Hiking enthusiasts often explore the area around Ardfry Point.,"[(49, 61, 'LOC')]"
Ardfinnan has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
Many people visit Ardfield every year for its scenic views.,"[(18, 26, 'LOC')]"
Ardfert Abbey has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Many people visit Ardfert every year for its scenic views.,"[(18, 25, 'LOC')]"
The peaceful surroundings of Arderin make it a great place for a getaway.,"[(29, 36, 'LOC')]"
Many people visit Ardelly Point every year for its scenic views.,"[(18, 31, 'LOC')]"
The region surrounding Ardee is known for its natural beauty.,"[(23, 28, 'LOC')]"
The region surrounding Ardea is known for its natural beauty.,"[(23, 28, 'LOC')]"
Many people visit Ardderry Lough every year for its scenic views.,"[(18, 32, 'LOC')]"
Ardcrony has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
The peaceful surroundings of Ardcath make it a great place for a getaway.,"[(29, 36, 'LOC')]"
Ard Castle is a popular tourist destination.,"[(0, 10, 'LOC')]"
The peaceful surroundings of Ardcarn House make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Many people visit Ardbraccan every year for its scenic views.,"[(18, 28, 'LOC')]"
The peaceful surroundings of Ardbear Bay make it a great place for a getaway.,"[(29, 40, 'LOC')]"
Many people visit Ardara Road Station every year for its scenic views.,"[(18, 37, 'LOC')]"
Many people visit Ardara every year for its scenic views.,"[(18, 24, 'LOC')]"
Ardamore is a popular tourist destination.,"[(0, 8, 'LOC')]"
Ardamine House is a popular tourist destination.,"[(0, 14, 'LOC')]"
Ardakillin Lough is a popular tourist destination.,"[(0, 16, 'LOC')]"
Ardagh House has a rich history and is well-known among locals.,"[(0, 12, 'LOC')]"
Ardagh is a popular tourist destination.,"[(0, 6, 'LOC')]"
Hiking enthusiasts often explore the area around Ard.,"[(49, 52, 'LOC')]"
Arch Hall is a popular tourist destination.,"[(0, 9, 'LOC')]"
The region surrounding Archerstown is known for its natural beauty.,"[(23, 34, 'LOC')]"
Many people visit Archerstown House every year for its scenic views.,"[(18, 35, 'LOC')]"
Hiking enthusiasts often explore the area around Aran Islands.,"[(49, 61, 'LOC')]"
The region surrounding Aran Island is known for its natural beauty.,"[(23, 34, 'LOC')]"
Araglin River is a popular tourist destination.,"[(0, 13, 'LOC')]"
Hiking enthusiasts often explore the area around Araglin.,"[(49, 56, 'LOC')]"
River Ara has a rich history and is well-known among locals.,"[(0, 9, 'LOC')]"
Many people visit Lough Aphreaghaun every year for its scenic views.,"[(18, 35, 'LOC')]"
The peaceful surroundings of Lough Anure make it a great place for a getaway.,"[(29, 40, 'LOC')]"
The peaceful surroundings of Anns Fort make it a great place for a getaway.,"[(29, 38, 'LOC')]"
Anneville House is a popular tourist destination.,"[(0, 15, 'LOC')]"
Many people visit Annestown every year for its scenic views.,"[(18, 27, 'LOC')]"
Hiking enthusiasts often explore the area around Annes Grove.,"[(49, 60, 'LOC')]"
Many people visit Annesbrook every year for its scenic views.,"[(18, 28, 'LOC')]"
Anner River is a popular tourist destination.,"[(0, 11, 'LOC')]"
Many people visit Annegrove Abbey every year for its scenic views.,"[(18, 33, 'LOC')]"
Annefield House has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
The region surrounding Annamult House is known for its natural beauty.,"[(23, 37, 'LOC')]"
Annamoe River has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Annamoe has a rich history and is well-known among locals.,"[(0, 7, 'LOC')]"
The region surrounding Annalee River is known for its natural beauty.,"[(23, 36, 'LOC')]"
The peaceful surroundings of Annakisha make it a great place for a getaway.,"[(29, 38, 'LOC')]"
The peaceful surroundings of Annaghs House make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Hiking enthusiasts often explore the area around Annagh River.,"[(49, 61, 'LOC')]"
The peaceful surroundings of Annaghmore Lough make it a great place for a getaway.,"[(29, 45, 'LOC')]"
The peaceful surroundings of Annaghmore House make it a great place for a getaway.,"[(29, 45, 'LOC')]"
The peaceful surroundings of Annaghmore make it a great place for a getaway.,"[(29, 39, 'LOC')]"
Annaghmakerig House has a rich history and is well-known among locals.,"[(0, 19, 'LOC')]"
Annagh Island has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Many people visit Annagh Hill every year for its scenic views.,"[(18, 29, 'LOC')]"
Annagh Head is a popular tourist destination.,"[(0, 11, 'LOC')]"
Many people visit Annaghdown every year for its scenic views.,"[(18, 28, 'LOC')]"
Hiking enthusiasts often explore the area around Annagh Castle.,"[(49, 62, 'LOC')]"
Annagh Bog is a popular tourist destination.,"[(0, 10, 'LOC')]"
Annaghbeg House has a rich history and is well-known among locals.,"[(0, 15, 'LOC')]"
Annagh is a popular tourist destination.,"[(0, 6, 'LOC')]"
Annageeragh River has a rich history and is well-known among locals.,"[(0, 17, 'LOC')]"
The region surrounding Annagassan is known for its natural beauty.,"[(23, 33, 'LOC')]"
Annagary has a rich history and is well-known among locals.,"[(0, 8, 'LOC')]"
Hiking enthusiasts often explore the area around Annacurragh.,"[(49, 60, 'LOC')]"
Annacarty is a popular tourist destination.,"[(0, 9, 'LOC')]"
Hiking enthusiasts often explore the area around Annacarriga.,"[(49, 60, 'LOC')]"
The region surrounding Anketell Grove is known for its natural beauty.,"[(23, 37, 'LOC')]"
The region surrounding Slieve Anierin is known for its natural beauty.,"[(23, 37, 'LOC')]"
The peaceful surroundings of Anglesborough make it a great place for a getaway.,"[(29, 42, 'LOC')]"
Lough Anaserd has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Hiking enthusiasts often explore the area around Anascaul.,"[(49, 57, 'LOC')]"
Hiking enthusiasts often explore the area around Anaglog Cross.,"[(49, 62, 'LOC')]"
Anablaha is a popular tourist destination.,"[(0, 8, 'LOC')]"
Amiens Street Station has a rich history and is well-known among locals.,"[(0, 21, 'LOC')]"
The peaceful surroundings of Lough Aluirg make it a great place for a getaway.,"[(29, 41, 'LOC')]"
The region surrounding Alt Upper is known for its natural beauty.,"[(23, 32, 'LOC')]"
The peaceful surroundings of Altnapaste make it a great place for a getaway.,"[(29, 39, 'LOC')]"
Alt Lower is a popular tourist destination.,"[(0, 9, 'LOC')]"
Many people visit Altderg River every year for its scenic views.,"[(18, 31, 'LOC')]"
Many people visit Altan Lough every year for its scenic views.,"[(18, 29, 'LOC')]"
Altamira House is a popular tourist destination.,"[(0, 14, 'LOC')]"
The region surrounding Altadush is known for its natural beauty.,"[(23, 31, 'LOC')]"
Slieve Alp has a rich history and is well-known among locals.,"[(0, 10, 'LOC')]"
Hiking enthusiasts often explore the area around Lough Allua.,"[(49, 60, 'LOC')]"
River Allow is a popular tourist destination.,"[(0, 11, 'LOC')]"
Allihies is a popular tourist destination.,"[(0, 8, 'LOC')]"
Many people visit Allenwood every year for its scenic views.,"[(18, 27, 'LOC')]"
Allenstown Demesne has a rich history and is well-known among locals.,"[(0, 18, 'LOC')]"
Lough Allen has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
The region surrounding Allaghaun River is known for its natural beauty.,"[(23, 38, 'LOC')]"
Lough Alick has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
The region surrounding Alexandra Basin is known for its natural beauty.,"[(23, 38, 'LOC')]"
Lough Alewnaghta has a rich history and is well-known among locals.,"[(0, 16, 'LOC')]"
Hiking enthusiasts often explore the area around Lough Aleck More.,"[(49, 65, 'LOC')]"
Many people visit Albert Quay Station every year for its scenic views.,"[(18, 37, 'LOC')]"
The region surrounding Akinkeen is known for its natural beauty.,"[(23, 31, 'LOC')]"
Hiking enthusiasts often explore the area around Lough Akibbon.,"[(49, 62, 'LOC')]"
Akeragh Lough has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
Aille River has a rich history and is well-known among locals.,"[(0, 11, 'LOC')]"
Many people visit Aille every year for its scenic views.,"[(18, 23, 'LOC')]"
Many people visit Ahimma every year for its scenic views.,"[(18, 24, 'LOC')]"
River Aherlow has a rich history and is well-known among locals.,"[(0, 13, 'LOC')]"
The peaceful surroundings of Glen of Aherlow make it a great place for a getaway.,"[(29, 44, 'LOC')]"
